H,V,C,MUNSELL_NAME,x,y,Y,OKLCH_L,OKLCH_C,OKLCH_h,sRGB_R,sRGB_G,sRGB_B,IN_SRGB_GAMUT,FAKE_MUNSEL
5R,0.6,4,5R 0.6/4,0.469,0.246,0.699,0.1987096661,0.07478788828,0.5033494524,0.1802456072,0.007800670499,0.07843694185,TRUE,FALSE
7.5R,0.6,2,7.5R 0.6/2,0.431,0.29,0.699,0.1949439001,0.04482497963,8.317471032,0.1459195437,0.04332196267,0.06609583589,TRUE,FALSE
7.5R,0.6,4,7.5R 0.6/4,0.502,0.264,0.699,0.198622776,0.07453057361,6.691534267,0.1830987412,0.007180093487,0.06286536572,TRUE,FALSE
10R,0.6,2,10R 0.6/2,0.447,0.305,0.699,0.1947492754,0.04403751053,14.76274067,0.1461168969,0.04445461167,0.05653600699,TRUE,FALSE
10R,0.6,4,10R 0.6/4,0.537,0.284,0.699,0.1984915332,0.07435918111,13.40010853,0.1852818009,0.007113654114,0.04494837129,TRUE,FALSE
2.5YR,0.6,2,2.5YR 0.6/2,0.474,0.332,0.699,0.1943940894,0.04346878866,26.29239019,0.1458112931,0.04664270619,0.03905499235,TRUE,FALSE
2.5YR,0.6,4,2.5YR 0.6/4,0.603,0.322,0.699,0.1982810265,0.07573209641,26.13518423,0.1884934075,0.007150612781,0.01113703403,TRUE,FALSE
5YR,0.6,2,5YR 0.6/2,0.505,0.367,0.699,0.193911966,0.04423001942,40.64589911,0.1442333497,0.04978394919,0.01868141241,TRUE,FALSE
7.5YR,0.6,2,7.5YR 0.6/2,0.526,0.397,0.699,0.1934345123,0.04575323912,52.10820889,0.1414549618,0.05301383705,0.005210150303,TRUE,FALSE
10Y,0.8,2,10Y 0.8/2,0.397,0.448,0.943,0.2086048645,0.03407483387,107.0652048,0.1008892424,0.09797494423,0.02174684252,TRUE,FALSE
2.5GY,0.8,2,2.5GY 0.8/2,0.363,0.425,0.943,0.2081233278,0.02845994635,116.8539447,0.08985316586,0.1002575624,0.03916071912,TRUE,FALSE
5GY,0.8,2,5GY 0.8/2,0.336,0.41,0.943,0.2076051357,0.02614047608,129.3636615,0.07804518097,0.102558288,0.05170086091,TRUE,FALSE
7.5GY,0.8,2,7.5GY 0.8/2,0.314,0.394,0.943,0.2072343415,0.0246351392,141.4923362,0.06776788994,0.1041407735,0.06258393835,TRUE,FALSE
10GY,0.8,2,10GY 0.8/2,0.298,0.381,0.943,0.2069723431,0.02418838326,151.5869367,0.05935355636,0.1052210028,0.07070142687,TRUE,FALSE
2.5G,0.8,2,2.5G 0.8/2,0.287,0.371,0.943,0.2068054756,0.02419320404,159.0609446,0.05307221247,0.105892537,0.07658499246,TRUE,FALSE
5G,0.8,2,5G 0.8/2,0.28,0.363,0.943,0.206736905,0.02404172366,164.3285432,0.0493015081,0.1061680045,0.08093193424,TRUE,FALSE
7.5G,0.8,2,7.5G 0.8/2,0.272,0.355,0.943,0.2066217558,0.02449898173,170.0953475,0.04399120261,0.1066169875,0.08545169596,TRUE,FALSE
10G,0.8,2,10G 0.8/2,0.265,0.346,0.943,0.2065712788,0.02468164871,175.8279824,0.03973934961,0.1068139224,0.0901937127,TRUE,FALSE
2.5BG,0.8,2,2.5BG 0.8/2,0.253,0.332,0.943,0.2064334052,0.02606888483,184.777856,0.0309305665,0.1073318219,0.09781857097,TRUE,FALSE
5BG,0.8,2,5BG 0.8/2,0.241,0.315,0.943,0.2063703244,0.02779221385,194.4393925,0.02279055633,0.1075551495,0.1068103038,TRUE,FALSE
7.5BG,0.8,2,7.5BG 0.8/2,0.23,0.296,0.943,0.2064148026,0.02986541131,204.3140077,0.01618864128,0.1073707825,0.1167955187,TRUE,FALSE
10BG,0.8,2,10BG 0.8/2,0.223,0.28,0.943,0.2065834113,0.0314569948,212.4104364,0.01350760891,0.1067332968,0.1252033944,TRUE,FALSE
2.5B,0.8,2,2.5B 0.8/2,0.22,0.271,0.943,0.2067419532,0.03225758969,217.0918404,0.01338983224,0.1061406615,0.1299610975,TRUE,FALSE
5B,0.8,2,5B 0.8/2,0.218,0.258,0.943,0.2071342355,0.03279649421,224.8748121,0.0172035789,0.1046787036,0.1367279166,TRUE,FALSE
7.5B,0.8,2,7.5B 0.8/2,0.22,0.249,0.943,0.2076423696,0.03210431211,232.540316,0.02608661685,0.1027604652,0.1410836482,TRUE,FALSE
10B,0.8,2,10B 0.8/2,0.222,0.241,0.943,0.2081355847,0.03189836148,240.0239831,0.03494729108,0.1008485858,0.1450713152,TRUE,FALSE
2.5PB,0.8,2,2.5PB 0.8/2,0.225,0.234,0.943,0.20867137,0.03178579348,247.9368717,0.04529959818,0.09871001093,0.1484886633,TRUE,FALSE
5PB,0.8,2,5PB 0.8/2,0.234,0.226,0.943,0.2096764162,0.03132294265,262.7522444,0.06451851219,0.09447907528,0.1516555204,TRUE,FALSE
5PB,0.8,4,5PB 0.8/4,0.192,0.174,0.943,0.2098691329,0.05626295698,256.910916,0.0223574703,0.09373921691,0.1938262115,TRUE,FALSE
7.5PB,0.8,2,7.5PB 0.8/2,0.247,0.221,0.943,0.2107916961,0.03182583805,279.6480194,0.08412529152,0.08936486249,0.1525148725,TRUE,FALSE
7.5PB,0.8,4,7.5PB 0.8/4,0.216,0.17,0.943,0.2122831554,0.05462587018,278.4751557,0.0771831112,0.0827754343,0.1931540596,TRUE,FALSE
7.5PB,0.8,6,7.5PB 0.8/6,0.194,0.131,0.943,0.2143367196,0.07746713915,277.3129463,0.07130185977,0.07252508451,0.2344303676,TRUE,FALSE
7.5PB,0.8,8,7.5PB 0.8/8,0.179,0.104,0.943,0.2166135503,0.09812364277,275.5976929,0.06485061679,0.05911513814,0.2728805782,TRUE,FALSE
7.5PB,0.8,10,7.5PB 0.8/10,0.17,0.089,0.943,0.218297943,0.1124225134,273.537526,0.05661516043,0.04705384189,0.3003019675,TRUE,FALSE
7.5PB,0.8,12,7.5PB 0.8/12,0.162,0.072,0.943,0.2214003601,0.1324117722,272.2751479,0.05301886503,0.01985981985,0.3392421003,TRUE,FALSE
10PB,0.8,2,10PB 0.8/2,0.263,0.219,0.943,0.2118977232,0.03384970714,296.1175983,0.1023796395,0.08373288201,0.1510818024,TRUE,FALSE
10PB,0.8,4,10PB 0.8/4,0.242,0.17,0.943,0.2143401656,0.05778077143,297.5396552,0.1124966876,0.07111583481,0.1888035821,TRUE,FALSE
10PB,0.8,6,10PB 0.8/6,0.229,0.137,0.943,0.2170289164,0.07901534983,298.7454904,0.1240216122,0.05436149174,0.2217051303,TRUE,FALSE
10PB,0.8,8,10PB 0.8/8,0.22,0.112,0.943,0.2201425617,0.09981769822,299.9432686,0.1373462206,0.02884633465,0.2536386887,TRUE,FALSE
10PB,0.8,10,10PB 0.8/10,0.215,0.097,0.943,0.2227665663,0.1153369475,300.8122248,0.1483254502,0.005273101311,0.2773896763,TRUE,FALSE
2.5P,0.8,2,2.5P 0.8/2,0.277,0.22,0.943,0.2126552797,0.03594242001,307.2289813,0.1148308665,0.07944209886,0.1481312635,TRUE,FALSE
2.5P,0.8,4,2.5P 0.8/4,0.264,0.174,0.943,0.2155382596,0.06094069012,309.3806459,0.1328105382,0.06263878914,0.1818423426,TRUE,FALSE
2.5P,0.8,6,2.5P 0.8/6,0.255,0.144,0.943,0.2182913779,0.08186582135,310.3008261,0.148054192,0.04205479573,0.2098960931,TRUE,FALSE
2.5P,0.8,8,2.5P 0.8/8,0.248,0.12,0.943,0.2214143501,0.1029999491,311.1519276,0.164164697,0.01324756675,0.2379145624,TRUE,FALSE
5P,0.8,2,5P 0.8/2,0.292,0.224,0.943,0.2132311325,0.03755026804,316.6653161,0.1250999814,0.07581220443,0.1431978533,TRUE,FALSE
5P,0.8,4,5P 0.8/4,0.283,0.179,0.943,0.2163146312,0.06359293653,317.5376636,0.1464270605,0.05605906887,0.1746809264,TRUE,FALSE
5P,0.8,6,5P 0.8/6,0.279,0.151,0.943,0.2191795614,0.08505475181,318.7564599,0.1650708569,0.03104424805,0.1988655236,TRUE,FALSE
7.5P,0.8,2,7.5P 0.8/2,0.304,0.228,0.943,0.2136091665,0.03880973693,323.185886,0.1320748641,0.07322103383,0.1387924174,TRUE,FALSE
7.5P,0.8,4,7.5P 0.8/4,0.298,0.184,0.943,0.2167676665,0.0652465251,322.9983003,0.1551144958,0.05155986401,0.1683180385,TRUE,FALSE
7.5P,0.8,6,7.5P 0.8/6,0.294,0.156,0.943,0.2195794044,0.08667303301,323.209979,0.1736028221,0.02542997018,0.1915989491,TRUE,FALSE
10P,0.8,2,10P 0.8/2,0.312,0.232,0.943,0.2137604854,0.03904164272,327.1344912,0.1356644949,0.07204460476,0.1351068779,TRUE,FALSE
10P,0.8,4,10P 0.8/4,0.31,0.189,0.943,0.2170059993,0.06595066736,326.9163912,0.1607146002,0.04875286399,0.162585448,TRUE,FALSE
10P,0.8,6,10P 0.8/6,0.309,0.162,0.943,0.2198131507,0.08743981243,327.1881727,0.1803864342,0.02141007279,0.1836491359,TRUE,FALSE
2.5RP,0.8,2,2.5RP 0.8/2,0.322,0.236,0.943,0.2140029597,0.04002343589,331.7744361,0.1404024617,0.07020062926,0.1310928933,TRUE,FALSE
2.5RP,0.8,4,2.5RP 0.8/4,0.326,0.195,0.943,0.2173529299,0.06748151133,331.7102051,0.1679109831,0.04451777447,0.1555380485,TRUE,FALSE
2.5RP,0.8,6,2.5RP 0.8/6,0.328,0.168,0.943,0.2202538778,0.08985495318,331.7524609,0.1892490975,0.01477188416,0.175178222,TRUE,FALSE
